lat	long	Carb30	Carb1m	Clay30	Sand30	Silt30	Bulkd30	Clay1m	Sand1m	Silt1m	Bulkd1m
51.833	1	7.5844	11.9724	27.0489	40.8333	28.3424	1.2318	27.0489	40.8333	28.3424	1.3559
51.833	0	8.5191	13.8017	38.4225	23.5915	34.4742	1.1927	38.4225	23.5915	34.4742	1.3445
52	-4.667	13.14	20.0106	24.6244	32.3709	41.3803	0.9818	24.6244	32.3709	41.3803	1.1089
52	-4.5	12.9938	19.6684	24.0806	30.9431	43.1374	0.9589	24.0806	30.9431	43.1374	1.066
52	-4.333	12.8005	19.3853	24.0474	31.1801	42.9858	0.972	24.0474	31.1801	42.9858	1.0797
52	-4.167	15.0253	21.1955	20.8756	34.5438	42.8111	0.847	20.8756	34.5438	42.8111	1.0279
52	-4	13.6143	19.9721	21.9369	34.3981	42.034	0.9461	21.9369	34.3981	42.034	1.0797
52	-3.833	13.1824	20.1728	22.3052	31.554	44.4977	0.9546	22.3052	31.554	44.4977	1.104
52	-3.667	14.7343	20.8173	20.1712	34.455	43.955	0.8603	20.1712	34.455	43.955	1.0809
52	-3.5	10.3906	15.344	20.1	33.285	45.51	1.0486	20.1	33.285	45.51	1.205
