Lat	Long	Id	Country_Avg	Country_Cnt	Bulkd30_Avg	Bulkd1m_Avg	Car30c_Avg	Car1m_Avg	Clay30_Avg	Sand30_Avg	Silt30_Avg	Clay1m_Avg	Sand1m_Avg	Silt1m_Avg
51.417	0.917	161	2	186	0.5698	0.9157	30.8988	20.1192	6.7198	61.9303	28.2058	6.7198	61.9303	28.2058
51.583	-4.917	162	2	176	0.6705	1.0592	26.3392	14.3263	7.6348	49.9332	27.0385	7.6348	49.9332	27.0385
51.583	-4.25	163	2	167	0.8202	1.1141	22.2904	13.5588	8.7582	47.8826	24.1046	8.7582	47.8826	24.1046
51.583	-4.083	164	2	178	1.2128	1.4033	10.6735	4.8722	14.2393	55.7841	27.1996	14.2393	55.7841	27.1996
51.583	-3.917	165	2	147	1.3887	1.4995	4.3643	1.844	15.838	56.5913	28.0531	15.838	56.5913	28.0531
51.583	-3.75	166	2	189	0.5041	0.8641	33.7641	21.9202	7.053	71.1919	21.0314	7.053	71.1919	21.0314
51.583	-3.583	167	2	178	0.5359	0.9161	31.1946	18.9128	5.8505	72.7435	21.3967	5.8505	72.7435	21.3967
51.583	-3.417	168	2	159	0.5955	1.023	28.9117	15.0857	6.0946	71.9427	21.7643	6.0946	71.9427	21.7643
51.583	-3.25	169	2	184	0.5369	1.0048	31.9816	15.8516	6.9538	62.2191	27.5005	6.9538	62.2191	27.5005
51.583	-3.083	170	2	191	0.5736	0.9294	30.9549	18.8747	6.3218	61.168	25.0289	6.3218	61.168	25.0289
51.583	-2.917	171	2	185	0.4444	0.8408	36.3475	22.6958	6.9752	56.1633	21.0556	6.9752	56.1633	21.0556
51.583	-2.75	172	2	191	0.44	0.7723	37.4708	26.0175	7.2731	55.0273	20.674	7.2731	55.0273	20.674
51.583	-2.583	173	2	180	0.5457	0.866	32.7003	22.4206	6.9104	65.8658	20.1789	6.9104	65.8658	20.1789
51.583	-2.417	174	2	184	0.5424	0.8488	32.6693	22.7592	6.507	72.1348	21.3748	6.507	72.1348	21.3748
51.583	-2.25	175	2	195	0.6561	1.0288	27.5446	15.6619	7.2397	68.9403	23.7787	7.2397	68.9403	23.7787
51.583	-2.083	176	2	184	0.8021	1.1743	20.8286	9.7833	8.0242	65.8807	25.9252	8.0242	65.8807	25.9252
51.583	-1.917	177	2	185	0.9229	1.2302	15.4464	7.3646	8.201	63.2141	28.3337	8.201	63.2141	28.3337
51.583	-1.75	178	2	187	0.7113	1.1254	24.3343	11.3378	7.8547	62.1425	29.6084	7.8547	62.1425	29.6084
51.583	-1.583	179	2	190	0.8629	1.2009	17.9409	8.7197	8.3674	60.2344	27.1494	8.3674	60.2344	27.1494
51.583	-1.417	180	2	182	0.9298	1.2712	15.9475	6.9225	10.1748	60.8048	28.2797	10.1748	60.8048	28.2797
